Fecha/Hora	V (m/s)	Tc	Ta	IG
20/10/2018 0:00:00	1.462582	23	25	0
20/10/2018 0:10:00	0.9837497	23	26	0
20/10/2018 0:20:00	1.503584	23	26	0
20/10/2018 0:30:00	1.116116	24	26	0
20/10/2018 0:40:00	1.13045	24	26	0
20/10/2018 0:50:00	0.7859171	24	26	0
20/10/2018 1:00:00	1.3902	24	26	0
20/10/2018 1:10:00	1.386033	24	26	0
20/10/2018 1:20:00	1.651767	23	25	0
20/10/2018 1:30:00	1.316933	23	24	0
20/10/2018 1:40:00	1.7902	22	24	0
20/10/2018 1:50:00	1.903867	22	24	0
20/10/2018 2:00:00	1.649417	22	24	0
20/10/2018 2:10:00	1.756333	22	25	0
20/10/2018 2:20:00	1.594999	23	25	0
20/10/2018 2:30:00	1.685734	23	25	0
20/10/2018 2:40:00	1.314183	23	24	0
20/10/2018 2:50:00	1.2151	23	25	0
20/10/2018 3:00:00	0.9459834	23	25	0
20/10/2018 3:10:00	1.461799	23	25	0
20/10/2018 3:20:00	1.13665	23	25	0
20/10/2018 3:30:00	1.114183	23	25	0
20/10/2018 3:40:00	1.22115	23	25	0
20/10/2018 3:50:00	1.098117	22	24	0
20/10/2018 4:00:00	1.114767	22	24	0
20/10/2018 4:10:00	0.8445666	22	24	0
20/10/2018 4:20:00	0.6522167	22	25	0
20/10/2018 4:30:00	0.8003998	22	25	0
20/10/2018 4:40:00	1.2434	21	24	0
20/10/2018 4:50:00	0.7352002	21	24	0
20/10/2018 5:00:00	1.382367	21	24	0
20/10/2018 5:10:00	1.366534	21	24	0
20/10/2018 5:20:00	1.225849	21	24	0
20/10/2018 5:30:00	1.1693	22	25	0
20/10/2018 5:40:00	1.091866	22	25	0
20/10/2018 5:50:00	1.120317	22	25	0
20/10/2018 6:00:00	1.3753	22	24	0
20/10/2018 6:10:00	1.355351	23	25	0
20/10/2018 6:20:00	0.9240165	22	24	0
20/10/2018 6:30:00	0.9129497	22	24	0
20/10/2018 6:40:00	1.038784	21	24	0
20/10/2018 6:50:00	1.203505	21	24	0
20/10/2018 7:00:00	1.254133	21	24	2
20/10/2018 7:10:00	1.141333	22	24	11
20/10/2018 7:20:00	2.164183	23	25	38
20/10/2018 7:30:00	1.430884	23	26	69
20/10/2018 7:40:00	1.813517	25	27	109
20/10/2018 7:50:00	1.742401	27	30	150
20/10/2018 8:00:00	1.014634	30	32	195
20/10/2018 8:10:00	1.054934	31	32	240
20/10/2018 8:20:00	1.670883	33	31	285
20/10/2018 8:30:00	2.433333	34	32	331
20/10/2018 8:40:00	1.762251	35	29	375
20/10/2018 8:50:00	1.283133	37	29	419
20/10/2018 9:00:00	1.664717	39	32	461
20/10/2018 9:10:00	1.026584	43	33	502
20/10/2018 9:20:00	1.012417	45	30	542
20/10/2018 9:30:00	0.8087999	45	30	580
20/10/2018 9:40:00	1.0853	46	30	617
20/10/2018 9:50:00	1.730716	48	30	652
20/10/2018 10:00:00	1.69805	50	30	683
20/10/2018 10:10:00	1.206117	52	31	717
20/10/2018 10:20:00	1.33055	54	31	745
20/10/2018 10:30:00	1.519749	56	31	775
20/10/2018 10:40:00	0.8869833	58	31	801
20/10/2018 10:50:00	0.9804665	59	32	829
20/10/2018 11:00:00	1.359799	58	32	852
20/10/2018 11:10:00	1.621367	59	32	873
20/10/2018 11:20:00	2.268783	60	31	899
20/10/2018 11:30:00	1.908916	63	32	914
20/10/2018 11:40:00	2.044932	64	32	928
20/10/2018 11:50:00	2.863783	64	32	966
20/10/2018 12:00:00	3.55225	66	33	998
20/10/2018 12:10:00	3.107566	67	33	1043
20/10/2018 12:20:00	3.288518	67	33	1036
20/10/2018 12:30:00	2.692918	64	33	1027
20/10/2018 12:40:00	2.367667	65	34	1048
20/10/2018 12:50:00	2.693634	65	34	1018
20/10/2018 13:00:00	2.336099	61	33	1001
20/10/2018 13:10:00	2.329983	58	33	990
20/10/2018 13:20:00	2.613683	59	33	975
20/10/2018 13:30:00	2.511901	59	33	967
20/10/2018 13:40:00	2.450484	60	32	955
20/10/2018 13:50:00	2.868183	61	33	944
20/10/2018 14:00:00	2.316216	61	33	931
20/10/2018 14:10:00	2.313136	60	33	916
20/10/2018 14:20:00	2.82075	59	33	892
20/10/2018 14:30:00	2.874765	58	33	875
20/10/2018 14:40:00	2.773285	57	33	858
20/10/2018 14:50:00	3.337415	58	33	831
20/10/2018 15:00:00	3.297934	56	33	806
20/10/2018 15:10:00	3.146199	56	33	781
20/10/2018 15:20:00	2.519533	55	33	759
20/10/2018 15:30:00	2.806952	54	33	752
20/10/2018 15:40:00	3.162683	52	32	658
20/10/2018 15:50:00	3.725085	50	32	663
20/10/2018 16:00:00	4.016101	50	32	642
20/10/2018 16:10:00	3.310299	49	32	636
20/10/2018 16:20:00	3.126667	44	32	350
20/10/2018 16:30:00	2.174217	40	31	136
20/10/2018 16:40:00	2.130268	42	32	508
20/10/2018 16:50:00	1.962784	44	32	544
20/10/2018 17:00:00	2.391483	42	31	326
20/10/2018 17:10:00	2.176317	41	31	426
20/10/2018 17:20:00	1.565616	41	31	357
20/10/2018 17:30:00	1.251283	41	31	306
20/10/2018 17:40:00	1.164149	38	31	171
20/10/2018 17:50:00	1.367266	35	30	80
20/10/2018 18:00:00	1.129133	33	30	71
20/10/2018 18:10:00	1.144034	32	30	88
20/10/2018 18:20:00	1.696533	32	30	49
20/10/2018 18:30:00	2.3381	31	30	12
20/10/2018 18:40:00	2.288367	30	29	0
20/10/2018 18:50:00	1.92125	29	29	0
20/10/2018 19:00:00	1.200884	28	29	0
20/10/2018 19:10:00	1.451982	28	28	0
20/10/2018 19:20:00	1.294967	27	28	0
20/10/2018 19:30:00	1.497299	27	28	0
20/10/2018 19:40:00	0.9359665	27	28	0
20/10/2018 19:50:00	1.284273	27	28	0
20/10/2018 20:00:00	2.107696	27	28	0
20/10/2018 20:10:00	1.791733	26	28	0
20/10/2018 20:20:00	1.262067	26	28	0
20/10/2018 20:30:00	1.040817	26	28	0
20/10/2018 20:40:00	1.964849	26	27	0
20/10/2018 20:50:00	1.8725	26	27	0
