Ta,G,V,Tc
25,0,1.4626,23
26,0,0.98375,23
26,0,1.5036,23
26,0,1.1161,24
26,0,1.1304,24
26,0,0.78592,24
26,0,1.3902,24
26,0,1.386,24
25,0,1.6518,23
24,0,1.3169,23
24,0,1.7902,22
24,0,1.9039,22
24,0,1.6494,22
25,0,1.7563,22
25,0,1.595,23
25,0,1.6857,23
24,0,1.3142,23
25,0,1.2151,23
25,0,0.94598,23
25,0,1.4618,23
25,0,1.1366,23
25,0,1.1142,23
25,0,1.2211,23
24,0,1.0981,22
24,0,1.1148,22
24,0,0.84457,22
25,0,0.65222,22
25,0,0.8004,22
24,0,1.2434,21
24,0,0.7352,21
24,0,1.3824,21
24,0,1.3665,21
24,0,1.2258,21
25,0,1.1693,22
25,0,1.0919,22
25,0,1.1203,22
24,0,1.3753,22
25,0,1.3554,23
24,0,0.92402,22
24,0,0.91295,22
24,0,1.0388,21
24,0,1.2035,21
24,2,1.2541,21
24,11,1.1413,22
25,38,2.1642,23
26,69,1.4309,23
27,109,1.8135,25
30,150,1.7424,27
32,195,1.0146,30
32,240,1.0549,31
31,285,1.6709,33
32,331,2.4333,34
29,375,1.7623,35
29,419,1.2831,37
32,461,1.6647,39
33,502,1.0266,43
30,542,1.0124,45
30,580,0.8088,45
30,617,1.0853,46
30,652,1.7307,48
30,683,1.6981,50
31,717,1.2061,52
31,745,1.3305,54
31,775,1.5197,56
31,801,0.88698,58
32,829,0.98047,59
32,852,1.3598,58
32,873,1.6214,59
31,899,2.2688,60
32,914,1.9089,63
32,928,2.0449,64
32,966,2.8638,64
33,998,3.5522,66
33,1043,3.1076,67
33,1036,3.2885,67
33,1027,2.6929,64
34,1048,2.3677,65
34,1018,2.6936,65
33,1001,2.3361,61
33,990,2.33,58
33,975,2.6137,59
33,967,2.5119,59
32,955,2.4505,60
33,944,2.8682,61
33,931,2.3162,61
33,916,2.3131,60
33,892,2.8207,59
33,875,2.8748,58
33,858,2.7733,57
33,831,3.3374,58
33,806,3.2979,56
33,781,3.1462,56
33,759,2.5195,55
33,752,2.807,54
32,658,3.1627,52
32,663,3.7251,50
32,642,4.0161,50
32,636,3.3103,49
32,350,3.1267,44
31,136,2.1742,40
32,508,2.1303,42
32,544,1.9628,44
31,326,2.3915,42
31,426,2.1763,41
31,357,1.5656,41
31,306,1.2513,41
31,171,1.1641,38
30,80,1.3673,35
30,71,1.1291,33
30,88,1.144,32
30,49,1.6965,32
30,12,2.3381,31
29,0,2.2884,30
29,0,1.9212,29
29,0,1.2009,28
28,0,1.452,28
28,0,1.295,27
28,0,1.4973,27
28,0,0.93597,27
28,0,1.2843,27
28,0,2.1077,27
28,0,1.7917,26
28,0,1.2621,26
28,0,1.0408,26
27,0,1.9648,26
27,0,1.8725,26
27,0,1.978,26
27,0,1.1344,26
27,0,1.432,26
27,0,0.73252,25
27,0,1.343,25
27,0,1.1556,26
